timestep	potential_energy	translational_kinetic_energy	rotational_kinetic_energy
11300	-5936.790147	332.2111097	356.0540671
11400	-6074.592415	315.5147976	314.9104221
11500	-6035.377823	322.8018956	369.4069421
11600	-6012.410404	355.051049	394.1356478
11700	-6117.125794	353.9863679	374.2291599
11800	-6099.002884	355.2543013	361.1900092
11900	-6026.638578	365.6853311	372.3743112
12000	-6006.871575	368.5405006	380.3948802
12100	-6081.536796	336.3230962	377.0007221
12200	-6164.585893	335.2465891	363.8765622
12300	-6029.302981	358.7975124	359.9705156
12400	-6076.902043	386.1863709	383.5194851
12500	-6003.921651	379.4979024	392.8880256
12600	-6033.205243	367.45219	343.6797652
12700	-6145.965001	375.2145404	348.6259815
12800	-5945.065645	357.2146088	365.3908695
12900	-6078.896919	388.9993248	372.460401
13000	-6133.729997	411.2840176	381.4269622
13100	-6131.242376	397.8696219	376.497273
13200	-6335.0895	359.4877964	346.2576785
13300	-6525.137341	378.9210135	393.128666
13400	-6493.866516	385.3195201	418.7351854
13500	-6600.645576	366.066224	388.9731456
13600	-6616.349037	353.4256806	415.3661531
13700	-6690.766801	355.576919	387.2433823
13800	-6603.640901	346.5152492	374.3509393
13900	-6595.359693	356.0715484	378.3720353
14000	-6595.99101	391.0270784	366.6955776
14100	-6548.422136	361.0404053	364.6225643
14200	-6616.53106	377.7470751	380.286711
14300	-6692.166994	394.9148522	354.3054937
14400	-6704.812785	370.4521604	394.8528892
14500	-6826.931782	352.0034699	351.1467198
14600	-6761.141682	355.9807953	363.6722108
14700	-6681.130608	368.9210848	378.3207696
14800	-6698.439426	373.0134999	384.0238571
14900	-6683.617973	373.1901833	347.6829608
15000	-6691.767163	363.6814704	356.8569761
15100	-6684.501588	395.7446396	366.810904
15200	-6695.699211	384.9684255	360.6606692
15300	-6784.692976	369.6076061	357.5725462
15400	-6706.137086	360.3290931	355.4358991
15500	-6703.012124	354.0819875	359.1928675
15600	-6744.279447	356.1366592	341.9033573
15700	-6689.424724	369.6003373	347.2331713
15800	-6753.043748	373.8276254	371.3392821
15900	-6816.167578	393.3800368	351.5985831
16000	-6814.674673	347.652839	349.7281128
16100	-6777.336903	347.277416	394.8378337
16200	-6713.007774	339.834864	372.8740831
16300	-6804.698566	346.2061725	352.5410515
16400	-7055.752097	352.2626555	399.8270027
16500	-7178.171528	351.9849818	400.1310062
16600	-7103.902422	367.926879	382.1532249
16700	-6986.567139	365.0837764	361.3705768
16800	-7026.123163	374.5674639	362.1998949
16900	-7060.377603	376.4569966	364.4625295
17000	-7071.24699	395.8156682	349.9542026
17100	-7085.274425	364.0908778	343.2317272
17200	-7046.72188	374.9869852	354.4674256
17300	-7098.173956	373.4221503	360.904774
17400	-7065.910994	373.7019264	364.4395884
17500	-7189.23223	393.7627523	326.5127332
17600	-7172.244693	364.7265982	353.4119368
17700	-7094.563003	349.8501535	349.4758324
17800	-7098.449352	343.9037258	350.6485385
17900	-7153.938498	380.8487627	327.5745527
18000	-7120.339091	349.0931141	352.5434359
18100	-7129.102907	363.053637	366.2655802
18200	-7150.253587	350.9636654	385.1375104
18300	-7091.17225	373.1136437	384.1408334
18400	-7080.74409	381.3238822	390.1980831
18500	-7231.818178	367.9765781	371.9669505
18600	-7259.553088	371.5212709	360.7479767
18700	-7310.375019	333.5448879	339.3393401
18800	-7382.898878	356.2302937	328.6590043
18900	-7213.522299	374.3868739	367.6949532
19000	-7251.200861	368.1035858	361.2383405
19100	-7247.653834	375.7294192	331.6024903
19200	-7387.689434	349.3868685	392.3857139
19300	-7455.689395	363.7171967	375.8092814
19400	-7517.646164	383.9953936	394.8076064
19500	-7615.336286	362.8762694	375.4879695
19600	-7433.996967	343.3448599	360.8178987
19700	-7557.925896	364.9791308	339.9355609
19800	-7683.278825	339.4964347	348.2812703
19900	-7647.7633	376.6955028	350.0469373
20000	-7653.415337	344.0422916	371.3157088
20100	-7645.156926	357.9311798	384.6965375
20200	-7928.999499	362.6849196	358.3350695
20300	-7861.325507	352.2909884	363.7989273
20400	-7972.513793	355.2668155	347.5778653
20500	-8018.406678	367.0854218	342.3804822
20600	-7939.275519	350.8798372	344.4917625
20700	-7934.447631	381.8118135	332.2494742
20800	-7856.626335	368.3447463	338.8886789
20900	-8001.147066	372.5601928	341.0242204
21000	-7992.120404	372.8487122	339.3128527
21100	-7969.639419	369.3476339	348.9524853
21200	-8045.104114	351.253485	326.9120153
21300	-8031.714118	335.2202656	330.6754428
21400	-8113.402363	331.1965372	354.1958298
21500	-8089.354211	336.9932763	361.2895927
21600	-8000.013801	348.0154387	339.5668549
21700	-8104.857004	362.3518049	359.377338
21800	-8020.308574	336.2503514	358.7694735
21900	-8180.036561	352.9468674	348.3509902
22000	-8156.191765	352.9181637	360.8389747
22100	-8095.499141	374.5570796	361.1425817
22200	-8013.898605	370.2189203	374.5878355
22300	-8115.035675	362.3215364	351.993028
22400	-8173.961966	359.4686256	346.7168342
22500	-8152.446389	335.4001053	377.8505898
22600	-8475.728166	337.2421227	365.4846671
22700	-8341.332218	349.3808339	385.1983655
22800	-8340.335622	349.6963375	361.5246692
22900	-8567.021922	350.6966371	363.322507
23000	-8702.893145	342.3245949	364.837445
23100	-8648.916621	375.0215365	401.0546606
23200	-8744.093859	371.0985075	379.1952874
23300	-8836.216681	395.7520138	367.7759068
23400	-8802.210219	367.6396297	362.8987662
23500	-8827.374354	393.4613811	344.6160064
23600	-8789.61167	382.667703	375.4463111
23700	-8617.296765	378.2846878	369.1544421
23800	-8786.510688	374.2326106	357.4295724
23900	-8750.789109	382.3026285	344.204847
24000	-8884.139661	378.4750996	382.6393871
24100	-8835.749822	380.0743433	377.5746866
24200	-8917.952479	397.100662	390.2469545
24300	-8823.584033	343.223965	395.3777461
24400	-8865.318157	356.4614143	349.4736181
24500	-8900.166035	328.7530536	345.7603035
24600	-9004.885644	351.9500466	376.1955002
24700	-8875.992654	389.186631	365.0887123
24800	-9014.562512	378.8279558	356.123212
24900	-9070.773813	383.2558026	386.9924717
25000	-8968.987098	385.1665146	374.0507452
25100	-8800.88198	381.2844158	354.8280381
25200	-9056.553666	386.831434	371.4525938
25300	-8934.526799	398.7755112	382.2064292
25400	-9296.843551	419.5845061	397.3078997
25500	-9171.559298	402.2968907	410.0343256
25600	-9264.891221	385.4854673	372.7408273
25700	-9313.643305	378.7902504	369.6593483
25800	-9253.343078	387.6060051	364.5444109
25900	-9308.642424	374.0245045	380.6365946
26000	-9192.382846	405.1813755	395.223357
26100	-9280.524281	371.0895644	359.5447979
26200	-9432.254752	371.9604422	401.5979443
26300	-9343.235705	358.6999107	364.3178584
26400	-9432.294155	349.7247288	389.7835428
26500	-9432.383394	363.2232501	367.5498348
26600	-9465.885287	374.7197741	356.8731968
26700	-9479.685581	358.3907593	367.3586742
26800	-9511.556499	370.7191559	374.9494427
26900	-9441.753345	364.7182797	389.8354264
27000	-9583.874501	365.9375457	355.6237425
27100	-9499.146354	359.7845875	330.9164272
27200	-9581.486746	369.0731222	347.3481004
27300	-9717.254614	356.3590508	365.1320432
27400	-9637.584484	342.1295818	373.0849333
27500	-9653.181743	363.5467685	401.9182371
27600	-9651.824441	355.9848465	402.1484657
27700	-9567.769508	379.28317	369.6441567
27800	-9591.991101	380.8142188	378.3239085
27900	-9730.431309	365.3676667	384.0412617
28000	-9601.996936	343.9977544	406.4166653
28100	-9709.322203	363.7230631	389.7259935
28200	-9631.679327	344.8371814	398.5660239
28300	-9661.772598	373.8159714	354.3885093
28400	-9483.596174	370.0486662	347.475069
28500	-9573.690544	344.5969124	394.2654046
28600	-9571.345025	347.8443586	365.974742
28700	-9423.459078	340.7844639	349.370399
28800	-9572.445106	323.1302459	350.4301473
28900	-9493.815219	366.9174627	356.0989824
29000	-9539.13392	373.3200757	343.4347156
29100	-9514.087794	387.3885161	351.0505809
29200	-9787.811423	367.6471199	373.5568756
29300	-9787.831957	393.1132469	407.0521658
29400	-9817.738351	354.1008841	387.8688192
29500	-9825.210302	388.8614944	365.9054641
29600	-10165.55507	399.4469218	434.7682165
29700	-10226.9721	388.9651802	439.7075695
29800	-10169.40509	376.2680151	428.2384552
29900	-10168.16693	360.8033672	359.754101
30000	-10261.49265	341.4134545	351.1476716
30100	-10288.44953	340.6966344	393.9734642
30200	-10238.85311	348.677555	376.9815052
30300	-10330.44095	359.1216566	335.3404806
30400	-10327.75215	345.1033196	352.7354053
30500	-10123.0762	362.2544441	335.8365394
30600	-10177.42567	357.2398879	342.276029
30700	-10163.43491	363.1331605	361.6915057
30800	-10339.28717	368.5747332	372.2382399
30900	-10304.39212	402.3734016	378.276713
31000	-10424.89774	405.3534417	383.2814901
31100	-10302.05001	415.5144283	359.8069147
31200	-10344.88862	387.1495973	345.9642083
31300	-10387.42788	378.5698011	366.8066582
31400	-10198.42058	399.3183725	372.1800262
31500	-10270.21916	368.5016613	340.2645988
31600	-10504.89284	356.9146232	351.1228305
31700	-10421.54563	395.0440579	336.7092585
31800	-10310.91664	395.1212746	314.018353
31900	-10212.11345	389.6788779	356.9414852
32000	-10317.33344	385.8285269	362.6302341
32100	-10237.99455	425.6766135	372.3093279
32200	-10235.3386	383.9190451	408.5351025
32300	-10250.11538	361.1598202	395.1679238
32400	-10396.55655	370.304345	381.7264765
32500	-10788.90951	364.6555443	385.2513159
32600	-10593.92509	361.8621295	397.9752912
32700	-10618.80987	365.0214418	369.052682
32800	-10759.57766	345.6349238	365.4048866
32900	-10628.70237	343.0989533	340.6602742
33000	-10713.29273	351.2376417	366.911592
33100	-10659.36096	355.8664663	379.0877864
33200	-10666.88165	383.0489332	392.7172359
33300	-10606.63441	394.8862315	352.3252902
33400	-10568.20823	389.7160755	355.2241836
33500	-10638.61857	346.2753606	365.3247137
33600	-10572.11539	372.5473096	342.7971895
33700	-10624.14118	379.3324843	355.8593912
33800	-10790.90514	367.4374352	351.7588719
33900	-10573.58018	344.3091402	379.2066924
34000	-10650.31487	329.9836251	366.5896346
34100	-10544.40373	345.3987164	379.2650054
34200	-10607.2517	358.6429811	350.2826276
34300	-10516.85386	365.6075755	372.2403554
34400	-10708.06217	386.0103646	373.3923316
34500	-10520.89114	385.1602563	386.0383485
34600	-10649.55753	383.5947178	353.1853112
34700	-10424.21845	369.6081165	378.1374498
34800	-10505.51008	367.3761906	372.9788864
34900	-10582.22751	384.6148903	348.973691
35000	-10600.07109	362.215678	373.396288
35100	-10591.40497	372.7807914	359.3188502
35200	-10666.32981	359.3138498	368.0935562
35300	-10823.09894	383.129912	344.6031986
35400	-10740.42107	361.0961817	375.3941229
35500	-10957.40746	375.5919664	376.1576221
35600	-10885.60572	389.4822551	342.4517208
35700	-10984.17981	360.3570265	359.2172956
35800	-10869.84452	357.5672827	365.1313073
35900	-11144.41896	387.3985948	384.5032338
36000	-11190.56861	372.0312392	391.6638471
36100	-11398.36328	383.9594331	388.5810186
36200	-11361.52648	366.0869227	372.7335624
36300	-11250.59751	401.46186	354.5907662
36400	-11345.86076	379.7241236	383.5693326
36500	-11407.35539	368.4598602	359.6660427
36600	-11347.61211	370.3866156	369.387243
36700	-11449.74249	345.2418353	357.7055878
36800	-11550.35149	348.7792218	331.650207
36900	-11428.20867	350.2587328	358.5196995
37000	-11768.31212	360.2450834	372.2464801
37100	-11613.4837	369.8162034	365.132965
37200	-11647.13775	341.2338096	345.3891988
37300	-11656.09121	357.5974552	359.4398896
37400	-11550.4268	348.3721867	365.7035742
37500	-11445.81691	330.3768186	368.7378135
37600	-11586.58478	352.8267906	380.4370851
37700	-11565.06716	366.0598474	360.6884967
37800	-11662.61332	376.685501	365.1005243
37900	-11648.65073	364.297097	349.8604846
