timestep	temperature	potential_energy	translational_kinetic_energy	rotational_kinetic_energy
1250	1.032931322	5261.749518	103.8095979	0
1260	1.246242885	5240.063238	125.2474099	0
1270	1.113084691	5253.15438	111.8650114	0
1280	1.119955929	5252.388005	112.5555709	0
1290	1.000841958	5264.550638	100.5846168	0
1300	1.252775924	5239.153059	125.9039803	0
1310	1.099620359	5253.285665	110.511846	0
1320	1.31941655	5230.985976	132.6013633	0
1330	1.202819765	5242.951367	120.8833864	0
1340	1.246561847	5238.369571	125.2794656	0
1350	1.114435474	5251.265028	112.0007651	0
1360	0.9137767774	5271.134751	91.83456613	0
1370	1.06485239	5256.426514	107.0176652	0
1380	1.462162302	5216.887571	146.9473113	0
1390	1.323336692	5230.628621	132.9953375	0
1400	0.9002661799	5272.988664	90.47675108	0
1410	1.131417807	5249.509248	113.7074896	0
1420	1.277679795	5234.865668	128.4068194	0
1430	1.235346085	5237.841137	124.1522815	0
1440	1.042159855	5235.729716	104.7370654	0
1450	1.097571907	5230.03734	110.3059767	0
1460	0.9178672156	5248.260912	92.24565517	0
1470	0.8622548899	5253.343943	86.65661643	0
1480	0.918118841	5247.883021	92.27094352	0
1490	1.087142777	5230.499835	109.2578491	0
1500	0.9727193794	5240.700617	97.75829763	0
1510	1.024850657	5235.472651	102.9974911	0
1520	1.065424746	5231.353206	107.075187	0
1530	1.109601642	5226.786275	111.514965	0
1540	1.021051541	5235.360516	102.6156799	0
1550	0.968741992	5240.357666	97.3585702	0
1560	0.8745719314	5249.843756	87.89447911	0
1570	1.133158096	5224.132002	113.8823886	0
1580	1.222984223	5208.087426	122.9099144	0
1590	1.066072173	5221.035837	107.1402533	0
1600	0.7580952632	5251.673438	76.18857395	0
1610	0.6959024039	5257.650968	69.9381916	0
1620	1.172867647	5209.33811	117.8731985	0
1630	1.075571218	5219.422008	108.0949074	0
1640	0.937946506	5233.142193	94.26362385	0
1650	0.9563638651	5231.042699	96.11456845	0
1660	1.037739125	5223.206042	104.292782	0
1670	0.8167123155	5245.281859	82.0795877	0
1680	0.9654487999	5229.685329	97.02760439	0
1690	0.9517246008	5229.954996	95.64832238	0
1700	0.9143794091	5234.263938	91.89513061	0
1710	0.8229062087	5241.17411	82.70207398	0
